group,General
ext,Fuengirola TV,https://secure.todostreaming.es/live/nerja-livestream.m3u8
ext,Fuerteventura TV,https://5c0956165db0b.streamlock.net/ftv/directo/.m3u8
GaliciaTV.sp,Galicia TV America,https://america-crtvg.flumotion.com/playlist.m3u8
GaliciaTVEuropa.es,Galicia TV Europa,https://europa-crtvg.flumotion.com/playlist.m3u8
ext,Goiena Eus,https://zuzenean.goienamedia.eus/goiena-telebista.m3u8
ext,Goierri Irrati Telebista,https://5940924978228.streamlock.net/8155/8155/playlist.m3u8
GOL.es,GOL PLAY,https://spa-ha-p004.cdn.masmediatv.es/SVoriginOperatorEdge/smil:5_HD.smil/manifest.m3u8
ext,Guada TV,https://cloud.streamingconnect.tv/hls/guadatv/guadatv.m3u8
ext,Hamaika Telebista,https://cdn3.wowza.com/1/RERMR282dnU5eE5Z/OHY0dVFs/hls/live/playlist.m3u8
LA1.es,La 1,https://rtvelivestream.akamaized.net/rtvesec/la1/la1_main_dvr.m3u8
ext,La 1 Canarias,https://rtvelivestream-clnx.rtve.es/rtvesec/can/la1_can_main_720.m3u8
ext,La 1 Catalunya,https://rtvelivestream-clnx.rtve.es/rtvesec/cat/la1_cat_main_dvr.m3u8
ext,La 8 Mediterraneo,https://streaming004.gestec-video.com/hls/8TV.m3u8
ext,La Fabrica TV,https://mejorestrucos.com:5443/LiveApp/streams/854077030689510682594068.m3u8
ext,Lancelot TV,https://5c0956165db0b.streamlock.net:8090/directo/_definst_/lancelot.television/master.m3u8
LaOtra.es,LaOtra,https://laotra-1-23.secure2.footprint.net/master.m3u8
LaSexta.sp,La Sexta,https://spa-ha-p004.cdn.masmediatv.es/SVoriginOperatorEdge2/smil:11_HD.smil/index.m3u8
ext,La Urban TV,https://urbanrevolution.es:8443/live/TV/playlist.m3u8
ext,Mataro Televisio,https://liveingesta318.cdnmedia.tv/m1tvlive/smil:live.smil/playlist.m3u8?DVR=
ext,Mijas 3.40TV,https://streaming004.gestec-video.com/hls/MIJAS.m3u8
ext,Mirame TV,https://bit.controlstreams.com:5443/LiveApp/streams/mirametv.m3u8
ext,Onda Gran Canaria,https://live.cloudhostservers.com:3473/stream/play.m3u8
ext,Onda Madrid,https://tvradio-1-23.secure2.footprint.net/master.m3u8
ext,Penedes Televisio,https://liveingesta318.cdnmedia.tv/rtvvilafrancalive/smil:live.smil/playlist.m3u8?DVR=
ext,Pequeradio,https://canadaremar2.todostreaming.es/live/peque-pequetv.m3u8
ext,Piera TV,http://51.254.47.72:1935/piera/smil:piera.smil/master.m3u8
ext,PTV Almeria,https://streamer.zapitv.com/ptv_almeria/index.m3u8
ext,PTV Cordoba,https://streamer.zapitv.com/PTV_CORDOBA/index.m3u8
ext,PTV Granada,https://streamer.zapitv.com/PTV-granada/index.m3u8
ext,PTV Linares,https://streamer.zapitv.com/ptv-linarez/index.m3u8
ext,PTV Malaga,https://streamer.zapitv.com/PTV-malaga/index.m3u8
ext,PTV Sevilla,https://streamer.zapitv.com/PTV_sevilla/index.m3u8
ext,Punt 3,https://bit.controlstreams.com:5443/LiveApp/streams/punt3.m3u8
