group,General
ext,Canal 25 TV,https://common01.todostreaming.es/live/tvbarbastro-livestream.m3u8
ext,Canal 33 Madrid,https://5ab29cc78f681.streamlock.net/canal33tvmadridgmailcom/livestream/master.m3u8

group,Legislative
CanalParlamento.es,Canal Parlamento,https://congresodirecto.akamaized.net/hls/live/2037973/canalparlamento/master.m3u8
ext,Congreso de los Diputados 1,https://congresodirecto.akamaized.net/hls/live/2038274/canal1/master.m3u8
ext,Congreso de los Diputados 2,https://congresodirecto.akamaized.net/hls/live/2038275/canal2/master.m3u8
ext,Congreso de los Diputados 3,https://congresodirecto.akamaized.net/hls/live/2038276/canal3/master.m3u8
ext,Congreso de los Diputados 4,https://congresodirecto.akamaized.net/hls/live/2038277/canal4/master.m3u8
ext,Congreso de los Diputados 5,https://congresodirecto.akamaized.net/hls/live/2038278/canal5/master.m3u8
ext,Cordoba TV,https://cloudvideo.servers10.com:8081/8020/index.m3u8
ext,Corts Valencianes,https://streamserver3.seneca.tv/cval_live/cdn_enc_3/master.m3u8
CosmopolitanHD.es,COSMO,https://spa-ha-p004.cdn.masmediatv.es/SVoriginOperatorEdge4/smil:75_HD.smil/manifest.m3u8
ext,Junta de Castilla y Leon,https://16escalones-live2.flumotion.com/chunks.m3u8
ext,Parlamento de Andalucia,http://193.147.254.64:1935/realizacion1/realizacion1/playlist.m3u8
ext,Parlamento de Navarra,https://broadcasting.parlamentodenavarra.es/live/canal1/master.m3u8

group,Religious
ext,Cetelmon TV,http://player.cetelmon.tv/protecteddfd43c2f3a8b41f3f28582bf8993aca6/992_high.m3u8
ext,Cristiana TV,https://cristianos2.todostreaming.es/live/malaga-livestream.m3u8
Cuatro.es,Cuatro,https://spa-ha-p002.cdn.masmediatv.es/SVoriginOperatorEdge/smil:9_HD.smil/index.m3u8
ext,El Futuro en tu mano,https://ythls.armelin.one/channel/UCZSw3jfFZo_8I9BHSMlT2Fg.m3u8
ext,Logos TV Estudio,https://streamer1.streamhost.org/salive/logosdirectaH/playlist.m3u8
ext,Taroteame,https://5d2733224ac48.streamlock.net/taroteame/tarot_web/playlist.m3u8
ext,TarotVision,https://stream.andalhost.com/hls/tarotvision.m3u8
ext,TBN Espana,https://edge.xn--tbnespaa-j3a.es/LiveApp/streams/tbnlive.m3u8
ext,TEF,https://5940924978228.streamlock.net/EIVISSA_2/EIVISSA_2/playlist.m3u8
ext,Tele 7,https://ingest2-video.streaming-pro.com/tele7_ABR/stream/playlist.m3u8
ext,Television Consciente,https://cdn318.fractalmedia.es/318/live/hls/tvc/master.m3u8
ext,Television de Galicia,https://europa-crtvg.flumotion.com/crtvg/europa_high/playlist.m3u8
Trece.es,Trece,https://live-edge-bhs-1.cdn.enetres.net/091DB7AFBD77442B9BA2F141DCC182F5021/playlist.m3u8
ext,Tuya La Janda Television,http://185.210.20.13:8080/0.m3u8
TV3.es,TV3,https://directes-tv-cat.ccma.cat/live-origin/tv3-hls/master.m3u8
TV3cat.es,TV3CAT,https://directes-tv-cat.ccma.cat/live-origin/tvi-hls/master.m3u8
ext,TV4 La Vall,https://limited09.todostreaming.es/live/tarson-livestream.m3u8
TVANetworks.fr,TVA,https://streaming007.gestec-video.com/hls/artequatreTVA.m3u8

group,Entertainment
ext,Ciudades del Ocio TV,https://cloudvideo.servers10.com:8081/8024/index.m3u8
ext,Dejate de Historias TV,https://ythls.armelin.one/channel/UChMCkc02GVSi89TrvhbRasA.m3u8
Historia.es,Historia,https://spa-ha-p004.cdn.masmediatv.es/SVoriginOperatorEdge4/smil:90_HD.smil/manifest.m3u8
ext,Huelva TV,https://5d8d85cf2c308.streamlock.net:1936/huelvatv/htvdirecto/playlist.m3u8
IB3.es,IB3,https://ythls.armelin.one/channel/UCff_CBVJDTHP4wOHPjP5BMg.m3u8
ext,Iberoamerica TV,https://limited39.todostreaming.es/live/salome-livestream.m3u8
ext,Pluto TV Animales,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5dd834c66fe2ca0009303b8d/master.m3u8?advertisingId=&appName=web&appVersion=5.14.0-0f5ca04c21649b8c8aad4e56266a23b96d73b83a&app_name=web&clientDeviceType=0&clientID=6fbead95-26b1-415d-998f-1bdef62d10be&clientModelNumber=na&deviceDNT=false&deviceId=6fbead95-26b1-415d-998f-1bdef62d10be&deviceLat=19.4358&deviceLon=-99.1441&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=88.0.4324.150&marketingRegion=VE&serverSideAds=false&sessionID=b8e5a857-714a-11eb-b532-0242ac110002&sid=b8e5a857-714a-11eb-b532-0242ac110002&userId=
ext,ROTV Valencia,https://rotv.romediavalencia.com:3839/live/rotvlive.m3u8
ext,RTVC Cardedeu,https://liveingesta118.cdnmedia.tv/cardedeutvlive/smil:live.smil/playlist.m3u8
ext,RTV El Vendrell,https://liveingesta318.cdnmedia.tv/tvvendrelllive/smil:live.smil/playlist.m3u8
ext,Univers TV,https://cloud2.streaminglivehd.com:1936/universfaller/universfaller/playlist.m3u8
ext,XPTV2,https://janus.xpbroadcasting.com:8443/hls/xptv2.m3u8

group,Culture
ext,El 33/SX3,https://directes-tv-cat.ccma.cat/live-origin/c33-super3-hls/master.m3u8
ext,El 9 TV,https://liveingesta318.cdnmedia.tv/9tvlive/smil:live.smil/playlist.m3u8?DVR=
ext,Elche 7 TV,https://elche7tv.gestec-video.com/hls/canal2.m3u8
ext,TVG Cultural,https://cultural-crtvg.flumotion.com/playlist.m3u8
ext,TVG Evento 1,https://events1-crtvg.flumotion.com/playlist.m3u8
ext,TVG Evento 4,https://events4-crtvg.flumotion.com/playlist.m3u8
ext,TVG Evento 5,https://amodino-crtvg.flumotion.com/playlist.m3u8

group,Sports
Esport3.es,Esport3,https://directes-tv-cat.ccma.cat/live-origin/esport3-hls/master.m3u8
RealMadridTV.es,Real Madrid TV,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01201-cinedigmenterta-realmadrid-cineverse/playlist.m3u8
Teledeporte.es,Teledeporte,https://rtvelivestream.akamaized.net/rtvesec/tdp/tdp_main.m3u8
ext,UDTV,https://cdn318.fractalmedia.es/live319/hls/cudtv/high/index.m3u8
ext,Une Vinalopo,https://streamingtvi.gestec-video.com/hls/unesd.m3u8
ext,Vinx TV,https://tv.radiocast.es:5443/vinxtv/streams/vinxtvlive.m3u8
ext,Vision 6 TV,https://secure3.todostreaming.es/live/visionseis-livestream.m3u8
ext,Vivamovil,https://5d8d85cf2c308.streamlock.net:1936/AlcalaTV/endirecto/playlist.m3u8

group,Culture;Music
ext,Eurolatina TV,https://media2.streambrothers.com:1936/8150/8150/playlist.m3u8
ext,Fibwi,https://hostcdn3.fibwi.com/fibwi_diario/index.fmp4.m3u8

group,Business
ext,Krolus TV,https://vcnkrolustv.teleosmedia.com/linear/krolustv/krolustv/playlist.m3u8

group,Documentary
LA2.es,La 2,https://rtvelivestream-clnx.rtve.es/rtvesec/la2/la2_main_dvr.m3u8
ext,La 2 Canarias,https://rtvelivestream.akamaized.net/rtvesec/can/la2_can_main_dvr.m3u8
ext,La 2 Catalunya,https://rtvelivestream.akamaized.net/rtvesec/cat/la2_cat_main_dvr.m3u8
La7.es,La 7,https://rtv-murcia-live.globalmest.com/principal/smil:principal.smil/playlist.m3u8

group,Lifestyle
ext,Logos TV Salud,https://streamer1.streamhost.org/salive/logossaludH/playlist.m3u8
ext,M95 Television Marbella,https://limited2.todostreaming.es/live/m95-livestream.m3u8
ext,Maestrat TV,https://stream.maestrat.tv/hls/stream.m3u8
ext,Malaga 24h,https://ythls.armelin.one/channel/UCoMWImnPAur6JhXDK63dpAg.m3u8
ext,Mar TV,http://iptv.services.everywan.net:8080/martv-web/video.m3u8

group,Music;News
ext,Onda 15 TV,https://cloudvideo.servers10.com:8081/8034/index.m3u8
ext,Onda Algeciras,https://cloudtv.provideo.es/live/algecirastv-livestream.m3u8
OndaCadiz.es,Onda Cadiz,https://ondacadiztv.es:30443/octv/24h/playlist.m3u8
ext,Onda Valencia TV,https://cloudvideo.servers10.com:8081/8116/index.m3u8

group,Education
ext,Platzi TV,https://mdstrm.com/live-stream-playlist/629a63ae8df27c082901f78b.m3u8

group,Cooking
ext,Pluto TV Cocina,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5d8d0fbaa8742fa3093899da/master.m3u8?advertisingId=&appName=web&appStoreUrl=&appVersion=DNT&app_name=&architecture=&buildVersion=&deviceDNT=0&deviceId=5d8d0fbaa8742fa3093899da&deviceLat=&deviceLon=&deviceMake=web&deviceModel=web&deviceType=web&deviceVersion=DNT&includeExtendedEvents=false&marketingRegion=US&serverSideAds=false&sid=956&terminate=false&userId=

group,Entertainment;Music
ext,Radio Carnaval TV,https://eu1.servers10.com:8081/8116/index.m3u8

group,Travel
ext,Radio Rutas del Peru,https://tv.portalexpress.es:3731/stream/play.m3u8
ext,Radio Television Ceuta,https://cdnlivevlc.codev8.net/rtvcelive/smil:channel1.smil/playlist.m3u8
ext,Radio Television Marbella,https://streaming.rtvmarbella.tv/hls/streamingweb.m3u8
ext,Radio Television Mogan,https://cloudvideo.servers10.com:8081/8028/index.m3u8

group,Family;Movies
ext,Rakuten TV Family Movies,https://rakuten-family-2-es.samsung.wurl.tv/playlist.m3u8

group,Family
ext,The Pet Collective,https://the-pet-collective-international-es.samsung.wurl.tv/playlist.m3u8
ext,Torrevision,https://api.new.livestream.com/accounts/2614936/events/10365077/live.m3u8
TPA7.es,TPA7,https://cdnlive.codev8.net/rtpalive/smil:directo/playlist.m3u8?DVR=

